title,category,listing_image_url,hero_image_url,detail_url,local_path,labels_openai
"The Best Hotels to Book in Waco, Texas",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2021/12/8043259c-hilton-waco-e1639948158650.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2021/12/8043259c-hilton-waco-e1639948158650.webp,https://theculturetrip.com/north-america/usa/texas/articles/the-best-hotels-to-book-in-waco-texas,Scraped_Images/img27.webp,
"The Best Hotels to Book in College Station, Texas",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2021/12/2dh2r15-e1639073974835.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2021/12/2dh2r15-e1639073974835.webp,https://theculturetrip.com/north-america/usa/texas/articles/the-best-hotels-to-book-in-college-station-texas,Scraped_Images/img28.webp,
"The Best Restaurants in Abilene, Texas",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/09/shutterstock_2315604545-e1756845876293.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/09/shutterstock_2315604545-e1756845876293.webp,https://theculturetrip.com/north-america/usa/texas/articles/the-10-best-restaurants-in-abilene-texas,Scraped_Images/img29.webp,
The Best Foodie Destinations in Texas,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2020/09/j7t57p-e1601679239484.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2020/09/j7t57p-e1601679239484.webp,https://theculturetrip.com/north-america/usa/texas/articles/the-10-best-foodie-destinations-in-texas,Scraped_Images/img30.webp,
Best Cocktail Bars in San Antonio,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2019/03/cocktails-3.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2019/03/cocktails-3.webp,https://theculturetrip.com/north-america/usa/texas/articles/best-cocktail-bars-in-san-antonio,Scraped_Images/img31.webp,
"Top Brunch Spots in San Antonio, Texas",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2019/03/kbf37d.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2019/03/kbf37d.webp,https://theculturetrip.com/north-america/usa/texas/articles/top-10-brunch-spots-in-san-antonio,Scraped_Images/img32.webp,
"At Val’s Cheesecakes, a Mother’s Love Lives on Through Baking",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/07/hcti113_valscheesecake_sarahmaxwell_web.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/07/hcti113_valscheesecake_sarahmaxwell_web.webp,https://theculturetrip.com/north-america/usa/texas/articles/vals-cheesecakes-beautiful-story-of-a-mom-cancer-and-cheesecake,Scraped_Images/img33.webp,
"The Best Burritos, Burgers and Hot Dogs in Dallas",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/08/burger1.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/08/burger1.webp,https://theculturetrip.com/north-america/usa/texas/articles/the-best-burritos-burgers-and-hot-dogs-in-dallas,Scraped_Images/img34.webp,
Easiest International Vacations from Dallas,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/04/manuel-antonio-national-park-3.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/04/manuel-antonio-national-park-3.webp,https://theculturetrip.com/north-america/usa/texas/articles/easiest-international-vacations-from-dallas,Scraped_Images/img35.webp,
"How To Spend 24 Hours In Houston, Texas",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/07/shutterstock_2103664028.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/07/shutterstock_2103664028.webp,https://theculturetrip.com/north-america/usa/texas/articles/how-to-spend-24-hours-in-houston-tx,Scraped_Images/img36.webp,
